Name,pointNumber,setNum,gameNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,Position,pointEndPosition,Duration,pointWonBy,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,isBreakPoint,atNetPlayer1,atNetPlayer2,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,clientTeam,opponentTeam
"Set 1: 2-2, 15-30 Elise Wagle Serving",25,1,5,Elise Wagle,Sara Svetac,15-30,2-2,0-0,,Ad,Elise Wagle,Sara Svetac,1086295,1102253,,Elise Wagle,8,5 - 8,1,0,1st Serve In,Wide,Wide,,False,Crosscourt,Backhand,Net,,Down the Line,Forehand,Sara Svetac,Error,False,,,0,0,2,2,15,30,,,1st Serve In,Ad: Wide,,,,,,,,Crosscourt,Backhand,Down the Line,Forehand,Error,,Arizona State
"Set 1: 2-2, 30-30 Elise Wagle Serving",26,1,5,Elise Wagle,Sara Svetac,30-30,2-2,0-0,,Deuce,Elise Wagle,Sara Svetac,1128995,1137346,,Elise Wagle,4,1 - 4,1,0,1st Serve In,Body,Body,,False,Crosscourt,Backhand,Net,,Crosscourt,Backhand,Sara Svetac,Error,False,,,0,0,2,2,30,30,,,1st Serve In,Deuce: Body,,,,,,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,,Arizona State
"Set 1: 2-2, 40-30 Elise Wagle Serving",27,1,5,Elise Wagle,Sara Svetac,40-30,2-2,0-0,,Ad,Elise Wagle,Sara Svetac,1162192,1173593,,Elise Wagle,7,5 - 8,1,0,1st Serve In,T,T,,False,Down the Line,Forehand,,,Crosscourt,Forehand,Elise Wagle,Winner,False,,,0,0,2,2,40,30,,,1st Serve In,Ad: T,,,Crosscourt,Forehand,Winner,,,Down the Line,Forehand,,,,,Arizona State
"Set 1: 3-2, 0-0 Sara Svetac Serving",28,1,6,Elise Wagle,Sara Svetac,0-0,3-2,0-0,,Deuce,Sara Svetac,Elise Wagle,1281405,1296796,,Sara Svetac,9,9 - 12,1,0,1st Serve In,Body,Body,,False,Crosscourt,Forehand,,,Crosscourt,Forehand,Sara Svetac,Winner,False,,,0,0,3,2,0,0,,,,,Crosscourt,Forehand,,,,1st Serve In,Deuce: Body,,,Crosscourt,Forehand,Winner,,Arizona State
"Set 1: 3-2, 15-0 Sara Svetac Serving",29,1,6,Elise Wagle,Sara Svetac,15-0,3-2,0-0,,Ad,Sara Svetac,Elise Wagle,1330196,1374064,,Elise Wagle,15,13 +,0,1,2nd Serve In,Body,Body,Body,False,Crosscourt,Backhand,Net,,Crosscourt,Forehand,Sara Svetac,Error,False,,,0,0,3,2,15,0,,,,,Crosscourt,Backhand,,,,2nd Serve In,Ad: Body,,,Crosscourt,Forehand,Error,,Arizona State
"Set 1: 3-2, 15-15 Sara Svetac Serving",30,1,6,Elise Wagle,Sara Svetac,15-15,3-2,0-0,,Deuce,Sara Svetac,Elise Wagle,1409596,1453135,,Elise Wagle,10,9 - 12,0,1,2nd Serve In,Body,Body,Body,False,Crosscourt,Forehand,,,Down the Line,Backhand,Elise Wagle,Winner,False,,,0,0,3,2,15,15,,,,,Crosscourt,Forehand,Down the Line,Backhand,Winner,2nd Serve In,Deuce: Body,,,,,,,Arizona State
"Set 1: 3-2, 15-30 Sara Svetac Serving",31,1,6,Elise Wagle,Sara Svetac,15-30,3-2,0-0,,Ad,Sara Svetac,Elise Wagle,1486595,1502730,,Elise Wagle,9,9 - 12,1,0,1st Serve In,T,T,,False,Crosscourt,Forehand,Net,,Crosscourt,Forehand,Sara Svetac,Error,False,,,0,0,3,2,15,30,,,,,Crosscourt,Forehand,,,,1st Serve In,Ad: T,,,Crosscourt,Forehand,Error,,Arizona State
"Set 1: 3-2, 15-40 Sara Svetac Serving",32,1,6,Elise Wagle,Sara Svetac,15-40,3-2,0-0,,Deuce,Sara Svetac,Elise Wagle,1528493,1567229,,Sara Svetac,11,9 - 12,0,1,2nd Serve In,T,Body,T,False,Crosscourt,Forehand,,,Down the Line,Forehand,Sara Svetac,Winner,True,,,0,0,3,2,15,40,,,,,Crosscourt,Forehand,,,,2nd Serve In,Deuce: T,,,Down the Line,Forehand,Winner,,Arizona State
"Set 1: 3-2, 30-40 Sara Svetac Serving",33,1,6,Elise Wagle,Sara Svetac,30-40,3-2,0-0,,Ad,Sara Svetac,Elise Wagle,1596180,1609691,,Elise Wagle,7,5 - 8,1,0,1st Serve In,Wide,Wide,,False,Crosscourt,Backhand,Long,,Down the Line,Forehand,Sara Svetac,Error,True,,,0,0,3,2,30,40,,,,,Crosscourt,Backhand,,,,1st Serve In,Ad: Wide,,,Down the Line,Forehand,Error,,Arizona State
"Set 1: 4-2, 0-0 Elise Wagle Serving",34,1,7,Elise Wagle,Sara Svetac,0-0,4-2,0-0,,Deuce,Elise Wagle,Sara Svetac,1643828,1664919,,Elise Wagle,9,9 - 12,1,0,1st Serve In,Body,Body,,False,Down the Line,Forehand,,,Down the Line,Backhand,Elise Wagle,Winner,False,,,0,0,4,2,0,0,,,1st Serve In,Deuce: Body,,,Down the Line,Backhand,Winner,,,Down the Line,Forehand,,,,,Arizona State
