Name,pointNumber,setNum,gameNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,Position,pointEndPosition,Duration,pointWonBy,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,isBreakPoint,atNetPlayer1,atNetPlayer2,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,clientTeam,opponentTeam
"Set 2: 0-1, 40-40 Sara Svetac Serving",59,2,2,Elise Wagle,Sara Svetac,40-40,0-1,1-0,,Ad,Sara Svetac,Elise Wagle,3140796,3166035,,Sara Svetac,7,5 - 8,0,1,2nd Serve In,Body,Body,Body,False,Crosscourt,Forehand,,,Crosscourt,Backhand,Sara Svetac,Winner,False,,,1,0,0,1,40,40,,,,,Crosscourt,Forehand,,,,2nd Serve In,Ad: Body,,,Crosscourt,Backhand,Winner,,Arizona State
"Set 2: 0-2, 0-0 Elise Wagle Serving",60,2,3,Elise Wagle,Sara Svetac,0-0,0-2,1-0,,Deuce,Elise Wagle,Sara Svetac,3200217,3210458,,Elise Wagle,6,5 - 8,1,0,1st Serve In,Wide,Wide,,False,Crosscourt,Forehand,Wide Right,,Crosscourt,Backhand,Sara Svetac,Error,False,,,1,0,0,2,0,0,,,1st Serve In,Deuce: Wide,,,,,,,,Crosscourt,Forehand,Crosscourt,Backhand,Error,,Arizona State
"Set 2: 0-2, 15-0 Elise Wagle Serving",61,2,3,Elise Wagle,Sara Svetac,15-0,0-2,1-0,,Ad,Elise Wagle,Sara Svetac,3227051,3238344,,Sara Svetac,6,5 - 8,1,0,1st Serve In,Wide,Wide,,False,Crosscourt,Backhand,,,Crosscourt,Forehand,Sara Svetac,Winner,False,,,1,0,0,2,15,0,,,1st Serve In,Ad: Wide,,,,,,,,Crosscourt,Backhand,Crosscourt,Forehand,Winner,,Arizona State
"Set 2: 0-2, 15-15 Elise Wagle Serving",62,2,3,Elise Wagle,Sara Svetac,15-15,0-2,1-0,,Deuce,Elise Wagle,Sara Svetac,3261458,3288382,,Elise Wagle,4,1 - 4,0,1,2nd Serve In,T,Body,T,False,Crosscourt,Backhand,Net,,Down the Line,Backhand,Sara Svetac,Error,False,,,1,0,0,2,15,15,,,2nd Serve In,Deuce: T,,,,,,,,Crosscourt,Backhand,Down the Line,Backhand,Error,,Arizona State
"Set 2: 0-2, 30-15 Elise Wagle Serving",63,2,3,Elise Wagle,Sara Svetac,30-15,0-2,1-0,,Ad,Elise Wagle,Sara Svetac,3311178,3322698,,Elise Wagle,5,5 - 8,1,0,1st Serve In,Body,Body,,False,Crosscourt,Backhand,,,Crosscourt,Backhand,Elise Wagle,Winner,False,,,1,0,0,2,30,15,,,1st Serve In,Ad: Body,,,Crosscourt,Backhand,Winner,,,Crosscourt,Backhand,,,,,Arizona State
"Set 2: 0-2, 40-15 Elise Wagle Serving",64,2,3,Elise Wagle,Sara Svetac,40-15,0-2,1-0,,Deuce,Elise Wagle,Sara Svetac,3342645,3349034,,Sara Svetac,3,1 - 4,1,0,1st Serve In,T,T,,False,Crosscourt,Backhand,Wide Right,,Down the Line,Forehand,Elise Wagle,Error,False,,,1,0,0,2,40,15,,,1st Serve In,Deuce: T,,,Down the Line,Forehand,Error,,,Crosscourt,Backhand,,,,,Arizona State
"Set 2: 0-2, 40-30 Elise Wagle Serving",65,2,3,Elise Wagle,Sara Svetac,40-30,0-2,1-0,,Ad,Elise Wagle,Sara Svetac,3370453,3379172,,Sara Svetac,5,5 - 8,1,0,1st Serve In,T,T,,False,Down the Line,Backhand,Wide Right,,Crosscourt,Backhand,Elise Wagle,Error,False,Elise Wagle,,1,0,0,2,40,30,,,1st Serve In,Ad: T,,,Crosscourt,Backhand,Error,,,Down the Line,Backhand,,,,,Arizona State
"Set 2: 0-2, 40-40 Elise Wagle Serving",66,2,3,Elise Wagle,Sara Svetac,40-40,0-2,1-0,,Ad,Elise Wagle,Sara Svetac,3408504,3421754,,Elise Wagle,8,5 - 8,1,0,1st Serve In,T,T,,False,Down the Line,Forehand,Net,,Down the Line,Forehand,Sara Svetac,Error,False,,,1,0,0,2,40,40,,,1st Serve In,Ad: T,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,,Arizona State
"Set 2: 1-2, 0-0 Sara Svetac Serving",67,2,4,Elise Wagle,Sara Svetac,0-0,1-2,1-0,,Deuce,Sara Svetac,Elise Wagle,3507218,3531918,,Elise Wagle,6,5 - 8,0,1,2nd Serve In,Body,T,Body,False,Crosscourt,Forehand,,,Down the Line,Backhand,Elise Wagle,Winner,False,,,1,0,1,2,0,0,,,,,Crosscourt,Forehand,Down the Line,Backhand,Winner,2nd Serve In,Deuce: Body,,,,,,,Arizona State
"Set 2: 1-2, 15-0 Sara Svetac Serving",68,2,4,Elise Wagle,Sara Svetac,15-0,1-2,1-0,,Ad,Sara Svetac,Elise Wagle,3556592,3564240,,Elise Wagle,3,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Down the Line,Backhand,Long,,Down the Line,Forehand,Sara Svetac,Error,False,,,1,0,1,2,15,0,,,,,Down the Line,Backhand,,,,1st Serve In,Ad: Wide,,,Down the Line,Forehand,Error,,Arizona State
"Set 2: 1-2, 15-15 Sara Svetac Serving",69,2,4,Elise Wagle,Sara Svetac,15-15,1-2,1-0,,Deuce,Sara Svetac,Elise Wagle,3580754,3604226,,Elise Wagle,5,5 - 8,0,1,2nd Serve In,Body,T,Body,False,Crosscourt,Forehand,Long,,Down the Line,Forehand,Sara Svetac,Error,False,,,1,0,1,2,15,15,,,,,Crosscourt,Forehand,,,,2nd Serve In,Deuce: Body,,,Down the Line,Forehand,Error,,Arizona State
"Set 2: 1-2, 15-30 Sara Svetac Serving",70,2,4,Elise Wagle,Sara Svetac,15-30,1-2,1-0,,Ad,Sara Svetac,Elise Wagle,3630507,3655545,,Elise Wagle,15,13 +,1,0,1st Serve In,T,T,,False,Crosscourt,Forehand,Net,,Down the Line,Backhand,Sara Svetac,Error,False,,,1,0,1,2,15,30,,,,,Crosscourt,Forehand,,,,1st Serve In,Ad: T,,,Down the Line,Backhand,Error,,Arizona State
"Set 2: 1-2, 15-40 Sara Svetac Serving",71,2,4,Elise Wagle,Sara Svetac,15-40,1-2,1-0,,Deuce,Sara Svetac,Elise Wagle,3687509,3715297,,Sara Svetac,6,5 - 8,0,1,2nd Serve In,T,Wide,T,False,Crosscourt,Backhand,Long,,Down the Line,Forehand,Elise Wagle,Error,True,,,1,0,1,2,15,40,,,,,Crosscourt,Backhand,Down the Line,Forehand,Error,2nd Serve In,Deuce: T,,,,,,,Arizona State
"Set 2: 1-2, 30-40 Sara Svetac Serving",72,2,4,Elise Wagle,Sara Svetac,30-40,1-2,1-0,,Ad,Sara Svetac,Elise Wagle,3733970,3750379,,Sara Svetac,9,9 - 12,1,0,1st Serve In,T,T,,False,Down the Line,Forehand,,,Crosscourt,Forehand,Sara Svetac,Winner,True,,,1,0,1,2,30,40,,,,,Down the Line,Forehand,,,,1st Serve In,Ad: T,,,Crosscourt,Forehand,Winner,,Arizona State
"Set 2: 1-2, 40-40 Sara Svetac Serving",73,2,4,Elise Wagle,Sara Svetac,40-40,1-2,1-0,,Ad,Sara Svetac,Elise Wagle,3777115,3784765,,Elise Wagle,3,1 - 4,1,0,1st Serve In,T,T,,False,Down the Line,Forehand,Wide Left,,Crosscourt,Forehand,Sara Svetac,Error,False,,,1,0,1,2,40,40,,,,,Down the Line,Forehand,,,,1st Serve In,Ad: T,,,Crosscourt,Forehand,Error,,Arizona State
"Set 2: 2-2, 0-0 Elise Wagle Serving",74,2,5,Elise Wagle,Sara Svetac,0-0,2-2,1-0,,Deuce,Elise Wagle,Sara Svetac,3824975,3829801,,Elise Wagle,1,1 - 4,1,0,1st Serve In,Body,Body,,True,,,,,,,Elise Wagle,,False,,,1,0,2,2,0,0,,,Ace,Deuce: Body,,,,,,,,,,,,,,Arizona State
"Set 2: 2-2, 15-0 Elise Wagle Serving",75,2,5,Elise Wagle,Sara Svetac,15-0,2-2,1-0,,Ad,Elise Wagle,Sara Svetac,3846849,3879377,,Elise Wagle,5,5 - 8,0,1,2nd Serve In,Body,Body,Body,False,Crosscourt,Backhand,,,Crosscourt,Backhand,Elise Wagle,Winner,False,,,1,0,2,2,15,0,,,2nd Serve In,Ad: Body,,,Crosscourt,Backhand,Winner,,,Crosscourt,Backhand,,,,,Arizona State
"Set 2: 2-2, 30-0 Elise Wagle Serving",76,2,5,Elise Wagle,Sara Svetac,30-0,2-2,1-0,,Deuce,Elise Wagle,Sara Svetac,3898305,3916094,,Elise Wagle,11,9 - 12,1,0,1st Serve In,T,T,,False,Down the Line,Backhand,,,Down the Line,Forehand,Elise Wagle,Winner,False,Elise Wagle,,1,0,2,2,30,0,,,1st Serve In,Deuce: T,,,Down the Line,Forehand,Winner,,,Down the Line,Backhand,,,,,Arizona State
"Set 2: 2-2, 40-0 Elise Wagle Serving",77,2,5,Elise Wagle,Sara Svetac,40-0,2-2,1-0,,Ad,Elise Wagle,Sara Svetac,3939274,3946047,,Elise Wagle,4,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Crosscourt,Backhand,Net,,Crosscourt,Backhand,Sara Svetac,Error,False,,,1,0,2,2,40,0,,,1st Serve In,Ad: Wide,,,,,,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,,Arizona State
"Set 2: 3-2, 0-0 Sara Svetac Serving",78,2,6,Elise Wagle,Sara Svetac,0-0,3-2,1-0,,Deuce,Sara Svetac,Elise Wagle,4047851,4071276,,Sara Svetac,2,1 - 4,0,1,2nd Serve In,Wide,T,Wide,False,Down the Line,Forehand,Net,Net,Down the Line,Forehand,Elise Wagle,Error,False,,,1,0,3,2,0,0,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,2nd Serve In,Deuce: Wide,,,,,,,Arizona State
"Set 2: 3-2, 0-15 Sara Svetac Serving",79,2,6,Elise Wagle,Sara Svetac,0-15,3-2,1-0,,Ad,Sara Svetac,Elise Wagle,4103464,4120573,,Sara Svetac,8,5 - 8,1,0,1st Serve In,Wide,Wide,,False,Crosscourt,Backhand,Wide Right,,Crosscourt,Forehand,Elise Wagle,Error,False,Elise Wagle,,1,0,3,2,0,15,,,,,Crosscourt,Backhand,Crosscourt,Forehand,Error,1st Serve In,Ad: Wide,,,,,,,Arizona State
"Set 2: 3-2, 15-15 Sara Svetac Serving",80,2,6,Elise Wagle,Sara Svetac,15-15,3-2,1-0,,Deuce,Sara Svetac,Elise Wagle,4147548,4185604,,Sara Svetac,14,13 +,0,1,2nd Serve In,T,Body,T,False,Down the Line,Forehand,Long,,Crosscourt,Backhand,Elise Wagle,Error,False,,,1,0,3,2,15,15,,,,,Down the Line,Forehand,Crosscourt,Backhand,Error,2nd Serve In,Deuce: T,,,,,,,Arizona State
"Set 2: 3-2, 30-15 Sara Svetac Serving",81,2,6,Elise Wagle,Sara Svetac,30-15,3-2,1-0,,Ad,Sara Svetac,Elise Wagle,4205272,4214745,,Elise Wagle,5,5 - 8,1,0,1st Serve In,Wide,Wide,,False,Crosscourt,Backhand,Net,,Down the Line,Forehand,Sara Svetac,Error,False,,,1,0,3,2,30,15,,,,,Crosscourt,Backhand,,,,1st Serve In,Ad: Wide,,,Down the Line,Forehand,Error,,Arizona State
"Set 2: 3-2, 30-30 Sara Svetac Serving",82,2,6,Elise Wagle,Sara Svetac,30-30,3-2,1-0,,Deuce,Sara Svetac,Elise Wagle,4234735,4259184,,Elise Wagle,5,5 - 8,0,1,2nd Serve In,Body,Body,Body,False,Down the Line,Forehand,Net,,Down the Line,Forehand,Sara Svetac,Error,False,,,1,0,3,2,30,30,,,,,Down the Line,Forehand,,,,2nd Serve In,Deuce: Body,,,Down the Line,Forehand,Error,,Arizona State
"Set 2: 3-2, 30-40 Sara Svetac Serving",83,2,6,Elise Wagle,Sara Svetac,30-40,3-2,1-0,,Ad,Sara Svetac,Elise Wagle,4292606,4299286,,Elise Wagle,3,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Crosscourt,Backhand,Net,,Crosscourt,Backhand,Sara Svetac,Error,True,,,1,0,3,2,30,40,,,,,Crosscourt,Backhand,,,,1st Serve In,Ad: Wide,,,Crosscourt,Backhand,Error,,Arizona State
"Set 2: 4-2, 0-0 Elise Wagle Serving",84,2,7,Elise Wagle,Sara Svetac,0-0,4-2,1-0,,Deuce,Elise Wagle,Sara Svetac,4331727,4355199,,Elise Wagle,2,1 - 4,0,1,2nd Serve In,Body,Body,Body,False,Down the Line,Backhand,Long,Long,Down the Line,Backhand,Sara Svetac,Error,False,,,1,0,4,2,0,0,,,2nd Serve In,Deuce: Body,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,,Arizona State
"Set 2: 4-2, 15-0 Elise Wagle Serving",85,2,7,Elise Wagle,Sara Svetac,15-0,4-2,1-0,,Ad,Elise Wagle,Sara Svetac,4379316,4400321,,Elise Wagle,6,5 - 8,0,1,2nd Serve In,Wide,,Wide,False,Crosscourt,Backhand,Net,,Crosscourt,Backhand,Sara Svetac,Error,False,,,1,0,4,2,15,0,,,2nd Serve In,Ad: Wide,,,,,,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,,Arizona State
"Set 2: 4-2, 30-0 Elise Wagle Serving",86,2,7,Elise Wagle,Sara Svetac,30-0,4-2,1-0,,Deuce,Elise Wagle,Sara Svetac,4428418,4441357,,Elise Wagle,8,5 - 8,1,0,1st Serve In,T,T,,False,Down the Line,Backhand,Net,,Down the Line,Forehand,Sara Svetac,Error,False,,,1,0,4,2,30,0,,,1st Serve In,Deuce: T,,,,,,,,Down the Line,Backhand,Down the Line,Forehand,Error,,Arizona State
"Set 2: 4-2, 40-0 Elise Wagle Serving",87,2,7,Elise Wagle,Sara Svetac,40-0,4-2,1-0,,Ad,Elise Wagle,Sara Svetac,4462700,4472148,,Elise Wagle,5,5 - 8,1,0,1st Serve In,Wide,Wide,,False,Down the Line,Backhand,,,Crosscourt,Backhand,Elise Wagle,Winner,False,,,1,0,4,2,40,0,,,1st Serve In,Ad: Wide,,,Crosscourt,Backhand,Winner,,,Down the Line,Backhand,,,,,Arizona State
"Set 2: 5-2, 0-0 Sara Svetac Serving",88,2,8,Elise Wagle,Sara Svetac,0-0,5-2,1-0,,Deuce,Sara Svetac,Elise Wagle,4572996,4599467,,Sara Svetac,13,13 +,1,0,1st Serve In,Body,Body,,False,Crosscourt,Backhand,,,Down the Line,Backhand,Sara Svetac,Winner,False,,,1,0,5,2,0,0,,,,,Crosscourt,Backhand,,,,1st Serve In,Deuce: Body,,,Down the Line,Backhand,Winner,,Arizona State
"Set 2: 5-2, 15-0 Sara Svetac Serving",89,2,8,Elise Wagle,Sara Svetac,15-0,5-2,1-0,,Ad,Sara Svetac,Elise Wagle,4624608,4642261,,Elise Wagle,1,1 - 4,0,0,Double Fault,,Body,,False,,,,,,,Sara Svetac,,False,,,1,0,5,2,15,0,,,,,,,,,,Double Fault,,,,,,,,Arizona State
"Set 2: 5-2, 15-15 Sara Svetac Serving",90,2,8,Elise Wagle,Sara Svetac,15-15,5-2,1-0,,Deuce,Sara Svetac,Elise Wagle,4664027,4688385,,Sara Svetac,6,5 - 8,0,1,2nd Serve In,Body,Body,Body,False,Down the Line,Forehand,Net,,Crosscourt,Backhand,Elise Wagle,Error,False,,,1,0,5,2,15,15,,,,,Down the Line,Forehand,Crosscourt,Backhand,Error,2nd Serve In,Deuce: Body,,,,,,,Arizona State
"Set 2: 5-2, 30-15 Sara Svetac Serving",91,2,8,Elise Wagle,Sara Svetac,30-15,5-2,1-0,,Ad,Sara Svetac,Elise Wagle,4760725,4787618,,Sara Svetac,6,5 - 8,0,1,2nd Serve In,Body,Body,Body,False,Down the Line,Forehand,Long,,Crosscourt,Backhand,Elise Wagle,Error,False,,,1,0,5,2,30,15,,,,,Down the Line,Forehand,Crosscourt,Backhand,Error,2nd Serve In,Ad: Body,,,,,,,Arizona State
"Set 2: 5-2, 40-15 Sara Svetac Serving",92,2,8,Elise Wagle,Sara Svetac,40-15,5-2,1-0,,Deuce,Sara Svetac,Elise Wagle,4811128,4819991,,Elise Wagle,3,1 - 4,1,0,1st Serve In,Body,Body,,False,Crosscourt,Backhand,Long,,Down the Line,Forehand,Sara Svetac,Error,False,,,1,0,5,2,40,15,,,,,Crosscourt,Backhand,,,,1st Serve In,Deuce: Body,,,Down the Line,Forehand,Error,,Arizona State
"Set 2: 5-2, 40-30 Sara Svetac Serving",93,2,8,Elise Wagle,Sara Svetac,40-30,5-2,1-0,,Ad,Sara Svetac,Elise Wagle,4834142,4840184,,Sara Svetac,2,1 - 4,1,0,1st Serve In,Body,Body,,False,Down the Line,Backhand,Long,Long,Down the Line,Backhand,Elise Wagle,Error,False,,,1,0,5,2,40,30,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,1st Serve In,Ad: Body,,,,,,,Arizona State
"Set 2: 5-3, 0-0 Elise Wagle Serving",94,2,9,Elise Wagle,Sara Svetac,0-0,5-3,1-0,,Deuce,Elise Wagle,Sara Svetac,4858145,4892832,,Sara Svetac,5,5 - 8,1,0,1st Serve In,Body,Body,,False,Down the Line,Backhand,Wide Right,,Down the Line,Forehand,Elise Wagle,Error,False,,,1,0,5,3,0,0,,,1st Serve In,Deuce: Body,,,Down the Line,Forehand,Error,,,Down the Line,Backhand,,,,,Arizona State
"Set 2: 5-3, 0-15 Elise Wagle Serving",95,2,9,Elise Wagle,Sara Svetac,0-15,5-3,1-0,,Ad,Elise Wagle,Sara Svetac,4916058,4926857,,Elise Wagle,6,5 - 8,1,0,1st Serve In,Body,Body,,False,Down the Line,Forehand,Wide Right,,Crosscourt,Backhand,Sara Svetac,Error,False,,,1,0,5,3,0,15,,,1st Serve In,Ad: Body,,,,,,,,Down the Line,Forehand,Crosscourt,Backhand,Error,,Arizona State
"Set 2: 5-3, 15-15 Elise Wagle Serving",96,2,9,Elise Wagle,Sara Svetac,15-15,5-3,1-0,,Deuce,Elise Wagle,Sara Svetac,4944528,4975575,,Elise Wagle,14,13 +,1,0,1st Serve In,Body,Body,,False,Crosscourt,Forehand,Long,,Crosscourt,Backhand,Sara Svetac,Error,False,,,1,0,5,3,15,15,,,1st Serve In,Deuce: Body,,,,,,,,Crosscourt,Forehand,Crosscourt,Backhand,Error,,Arizona State
"Set 2: 5-3, 30-15 Elise Wagle Serving",97,2,9,Elise Wagle,Sara Svetac,30-15,5-3,1-0,,Ad,Elise Wagle,Sara Svetac,5000392,5025271,,Sara Svetac,3,1 - 4,0,1,2nd Serve In,Body,Body,Body,False,Crosscourt,Backhand,Wide Left,,Down the Line,Backhand,Elise Wagle,Error,False,,,1,0,5,3,30,15,,,2nd Serve In,Ad: Body,,,Down the Line,Backhand,Error,,,Crosscourt,Backhand,,,,,Arizona State
"Set 2: 5-3, 30-30 Elise Wagle Serving",98,2,9,Elise Wagle,Sara Svetac,30-30,5-3,1-0,,Deuce,Elise Wagle,Sara Svetac,5049038,5078111,,Sara Svetac,4,1 - 4,0,1,2nd Serve In,Body,T,Body,False,Crosscourt,Backhand,,,Down the Line,Forehand,Sara Svetac,Winner,False,,,1,0,5,3,30,30,,,2nd Serve In,Deuce: Body,,,,,,,,Crosscourt,Backhand,Down the Line,Forehand,Winner,,Arizona State
"Set 2: 5-3, 30-40 Elise Wagle Serving",99,2,9,Elise Wagle,Sara Svetac,30-40,5-3,1-0,,Ad,Elise Wagle,Sara Svetac,5099110,5122899,,Elise Wagle,8,5 - 8,0,1,2nd Serve In,Body,Body,Body,False,Crosscourt,Forehand,Wide Right,,Crosscourt,Backhand,Sara Svetac,Error,True,,,1,0,5,3,30,40,,,2nd Serve In,Ad: Body,,,,,,,,Crosscourt,Forehand,Crosscourt,Backhand,Error,,Arizona State
"Set 2: 5-3, 40-40 Elise Wagle Serving",100,2,9,Elise Wagle,Sara Svetac,40-40,5-3,1-0,,Ad,Elise Wagle,Sara Svetac,5145389,5152567,,Sara Svetac,3,1 - 4,1,0,1st Serve In,Body,Body,,False,Down the Line,Forehand,Long,,Crosscourt,Forehand,Elise Wagle,Error,False,,,1,0,5,3,40,40,,,1st Serve In,Ad: Body,,,Crosscourt,Forehand,Error,,,Down the Line,Forehand,,,,,Arizona State
"Set 2: 5-4, 0-0 Sara Svetac Serving",101,2,10,Elise Wagle,Sara Svetac,0-0,5-4,1-0,,Deuce,Sara Svetac,Elise Wagle,5238153,5295496,,Elise Wagle,15,13 +,0,1,2nd Serve In,Body,T,Body,False,Crosscourt,Backhand,Net,,Crosscourt,Backhand,Sara Svetac,Error,False,,,1,0,5,4,0,0,,,,,Crosscourt,Backhand,,,,2nd Serve In,Deuce: Body,,,Crosscourt,Backhand,Error,,Arizona State
"Set 2: 5-4, 0-15 Sara Svetac Serving",102,2,10,Elise Wagle,Sara Svetac,0-15,5-4,1-0,,Ad,Sara Svetac,Elise Wagle,5333751,5346193,,Elise Wagle,7,5 - 8,1,0,1st Serve In,Body,Body,,False,Crosscourt,Backhand,Wide Right,,Down the Line,Forehand,Sara Svetac,Error,False,,,1,0,5,4,0,15,,,,,Crosscourt,Backhand,,,,1st Serve In,Ad: Body,,,Down the Line,Forehand,Error,,Arizona State
"Set 2: 5-4, 0-30 Sara Svetac Serving",103,2,10,Elise Wagle,Sara Svetac,0-30,5-4,1-0,,Deuce,Sara Svetac,Elise Wagle,5369943,5379745,,Sara Svetac,5,5 - 8,1,0,1st Serve In,T,T,,False,Down the Line,Forehand,,,Down the Line,Forehand,Sara Svetac,Winner,False,,,1,0,5,4,0,30,,,,,Down the Line,Forehand,,,,1st Serve In,Deuce: T,,,Down the Line,Forehand,Winner,,Arizona State
"Set 2: 5-4, 15-30 Sara Svetac Serving",104,2,10,Elise Wagle,Sara Svetac,15-30,5-4,1-0,,Ad,Sara Svetac,Elise Wagle,5398645,5404758,,Sara Svetac,2,1 - 4,1,0,1st Serve In,T,T,,False,Down the Line,Forehand,Long,Long,Down the Line,Forehand,Elise Wagle,Error,False,,,1,0,5,4,15,30,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,1st Serve In,Ad: T,,,,,,,Arizona State
"Set 2: 5-4, 30-30 Sara Svetac Serving",105,2,10,Elise Wagle,Sara Svetac,30-30,5-4,1-0,,Deuce,Sara Svetac,Elise Wagle,5421145,5431290,,Elise Wagle,5,5 - 8,1,0,1st Serve In,Body,Body,,False,Crosscourt,Forehand,Long,,Down the Line,Forehand,Sara Svetac,Error,False,,,1,0,5,4,30,30,,,,,Crosscourt,Forehand,,,,1st Serve In,Deuce: Body,,,Down the Line,Forehand,Error,,Arizona State
"Set 2: 5-4, 30-40 Sara Svetac Serving",106,2,10,Elise Wagle,Sara Svetac,30-40,5-4,1-0,,Ad,Sara Svetac,Elise Wagle,5457016,5473954,,Elise Wagle,9,9 - 12,1,0,1st Serve In,,T,,False,Crosscourt,Forehand,Net,,Down the Line,Forehand,Sara Svetac,Error,True,,,1,0,5,4,30,40,,,,,Crosscourt,Forehand,,,,1st Serve In,,,,Down the Line,Forehand,Error,,Arizona State
