pointScore,gameScore,setScore,tiebreakScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,isBreakPoint,shotInRally,side,serverName,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,returnContactX,returnContactY,returnPlacementX,returnPlacementY,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,pointWonBy,clientTeam,Date,Division,Event,lineupPosition,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,pointNumber,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,lastShotError,serveResult,serveInPlacement
30-30,5-3,1-0,,1.0,,,,,1,Deuce,Elise Wagle,0.0,T,,,1.0,Body,,,,,,,,,,,,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,98,Sara Svetac,Elise Wagle,,,,0,2nd Serve In,Body
30-30,5-3,1-0,,,,,,,2,Deuce,Elise Wagle,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,98,Sara Svetac,Sara Svetac,,,,0,,
30-30,5-3,1-0,,,,,,,3,Deuce,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,98,Sara Svetac,Elise Wagle,,,,0,,
30-30,5-3,1-0,,,,1.0,,,4,Ad,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,1.0,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,98,Sara Svetac,Sara Svetac,,,,0,,
30-40,5-3,1-0,,1.0,,,,1.0,1,Ad,Elise Wagle,0.0,Body,,,1.0,Body,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,99,Sara Svetac,Elise Wagle,,,,0,2nd Serve In,Body
30-40,5-3,1-0,,,,,,,2,Ad,Elise Wagle,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,99,Sara Svetac,Sara Svetac,,,,0,,
30-40,5-3,1-0,,,,,,,3,Ad,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,99,Sara Svetac,Elise Wagle,,,,0,,
30-40,5-3,1-0,,,,,,,4,Deuce,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,99,Sara Svetac,Sara Svetac,,,,0,,
30-40,5-3,1-0,,,,,,,5,Ad,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,99,Sara Svetac,Elise Wagle,,,,0,,
30-40,5-3,1-0,,,,,,,6,Deuce,Elise Wagle,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,99,Sara Svetac,Sara Svetac,,,,0,,
30-40,5-3,1-0,,,,,,,7,Deuce,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,99,Sara Svetac,Elise Wagle,,,,0,,
30-40,5-3,1-0,,,,1.0,,,8,Ad,Elise Wagle,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,1.0,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,99,Sara Svetac,Sara Svetac,,,,1,,
40-40,5-3,1-0,,1.0,,,,1.0,1,Ad,Elise Wagle,1.0,Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,100,Sara Svetac,Elise Wagle,,,,0,1st Serve In,Body
40-40,5-3,1-0,,,,,,,2,Ad,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,100,Sara Svetac,Sara Svetac,,,,0,,
40-40,5-3,1-0,,,,1.0,,,3,Deuce,Elise Wagle,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,1.0,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,100,Sara Svetac,Elise Wagle,,,,1,,
0-0,5-4,1-0,,1.0,,,,,1,Deuce,Sara Svetac,0.0,T,,,1.0,Body,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,101,Elise Wagle,Sara Svetac,,,,0,2nd Serve In,Body
0-0,5-4,1-0,,,,,,,2,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,101,Elise Wagle,Elise Wagle,,,,0,,
0-0,5-4,1-0,,,,,,,3,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,101,Elise Wagle,Sara Svetac,,,,0,,
0-0,5-4,1-0,,,,,,,4,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,101,Elise Wagle,Elise Wagle,,,,0,,
0-0,5-4,1-0,,,,,,,5,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Down the Line,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,101,Elise Wagle,Sara Svetac,,,,0,,
0-0,5-4,1-0,,,,,,,6,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,101,Elise Wagle,Elise Wagle,,,,0,,
0-0,5-4,1-0,,,,,,,7,Ad,Sara Svetac,,,,,,,,,,,,,,,,Down the Line,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,101,Elise Wagle,Sara Svetac,,,,0,,
0-0,5-4,1-0,,,,,,,8,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,101,Elise Wagle,Elise Wagle,,,,0,,
0-0,5-4,1-0,,,,,,,9,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,101,Elise Wagle,Sara Svetac,,,,0,,
0-0,5-4,1-0,,,,,,,10,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,101,Elise Wagle,Elise Wagle,,,,0,,
